Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
device=cuda trainable params=11.3M
mix: public_frac 0.1 -> 1000 public + 2576 synthetic records
3576 training requests (holdout=[]), questions by type {'choice': 2372, 'score': 763, 'noul': 716}
[transformers] `causal_conv1d_fn` is falling back to its reference PyTorch implementation because `causal_conv1d` is not installed. This is correct but much slower; install `causal_conv1d` for the optimized kernel.
ep0 step 10/447 loss 1.453 kl 0.000 anchor 0.000 1.275s/rec
ep0 step 20/447 loss 1.588 kl 0.000 anchor 0.000 0.899s/rec
ep0 step 30/447 loss 1.119 kl 0.000 anchor 0.000 0.612s/rec
ep0 step 40/447 loss 1.356 kl 0.000 anchor 0.000 0.459s/rec
ep0 step 50/447 loss 1.181 kl 0.000 anchor 0.000 0.376s/rec
ep0 step 60/447 loss 1.232 kl 0.000 anchor 0.000 0.319s/rec
ep0 step 70/447 loss 1.234 kl 0.000 anchor 0.000 0.279s/rec
ep0 step 80/447 loss 1.287 kl 0.000 anchor 0.000 0.248s/rec
ep0 step 90/447 loss 1.255 kl 0.000 anchor 0.000 0.223s/rec
ep0 step 100/447 loss 1.057 kl 0.000 anchor 0.000 0.203s/rec
ep0 step 110/447 loss 1.161 kl 0.000 anchor 0.000 0.186s/rec
ep0 step 120/447 loss 0.930 kl 0.000 anchor 0.000 0.175s/rec
ep0 step 130/447 loss 0.892 kl 0.000 anchor 0.000 0.164s/rec
ep0 step 140/447 loss 0.939 kl 0.000 anchor 0.000 0.153s/rec
ep0 step 150/447 loss 0.992 kl 0.000 anchor 0.000 0.145s/rec
ep0 step 160/447 loss 0.929 kl 0.000 anchor 0.000 0.137s/rec
ep0 step 170/447 loss 0.958 kl 0.000 anchor 0.000 0.131s/rec
ep0 step 180/447 loss 0.908 kl 0.000 anchor 0.000 0.125s/rec
ep0 step 190/447 loss 0.730 kl 0.000 anchor 0.000 0.120s/rec
ep0 step 200/447 loss 0.930 kl 0.000 anchor 0.000 0.115s/rec
ep0 step 210/447 loss 0.823 kl 0.000 anchor 0.000 0.111s/rec
ep0 step 220/447 loss 0.852 kl 0.000 anchor 0.000 0.107s/rec
ep0 step 230/447 loss 0.885 kl 0.000 anchor 0.000 0.104s/rec
ep0 step 240/447 loss 0.760 kl 0.000 anchor 0.000 0.100s/rec
ep0 step 250/447 loss 0.775 kl 0.000 anchor 0.000 0.097s/rec
ep0 step 260/447 loss 0.856 kl 0.000 anchor 0.000 0.094s/rec
ep0 step 270/447 loss 0.611 kl 0.000 anchor 0.000 0.092s/rec
ep0 step 280/447 loss 0.635 kl 0.000 anchor 0.000 0.090s/rec
ep0 step 290/447 loss 0.541 kl 0.000 anchor 0.000 0.088s/rec
ep0 step 300/447 loss 0.862 kl 0.000 anchor 0.000 0.086s/rec
ep0 step 310/447 loss 0.755 kl 0.000 anchor 0.000 0.084s/rec
ep0 step 320/447 loss 0.686 kl 0.000 anchor 0.000 0.082s/rec
ep0 step 330/447 loss 0.747 kl 0.000 anchor 0.000 0.081s/rec
ep0 step 340/447 loss 0.661 kl 0.000 anchor 0.000 0.079s/rec
ep0 step 350/447 loss 0.590 kl 0.000 anchor 0.000 0.078s/rec
ep0 step 360/447 loss 1.009 kl 0.000 anchor 0.000 0.076s/rec
ep0 step 370/447 loss 0.565 kl 0.000 anchor 0.000 0.075s/rec
ep0 step 380/447 loss 0.695 kl 0.000 anchor 0.000 0.073s/rec
ep0 step 390/447 loss 0.640 kl 0.000 anchor 0.000 0.072s/rec
ep0 step 400/447 loss 0.682 kl 0.000 anchor 0.000 0.072s/rec
ep0 step 410/447 loss 0.580 kl 0.000 anchor 0.000 0.071s/rec
ep0 step 420/447 loss 0.755 kl 0.000 anchor 0.000 0.070s/rec
ep0 step 430/447 loss 0.803 kl 0.000 anchor 0.000 0.069s/rec
ep0 step 440/447 loss 0.633 kl 0.000 anchor 0.000 0.068s/rec
saved /runs/q35-smoke/00-trial-0/checkpoint
